,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,AUTOR ,,
,,,,,,,,,,,,,
,,,,,,PUERTA DEL ORO ,PUERTA DEL ORO ,,,,,,
,,,,,,,,,,,ENER,26000,2319000
,,,,,,JUNIO ,5087939,,,,FEB,24000,2199000
,,,,,,JULIO ,1526381,,,,MARZ,59000,5346000
,,,,,,AGOSTO ,1526381,,,,ABRIL,63000,5726000
,,,,,,SEPT,1526381,,,,MAY,69000,6312000
,,,,,,OCTUBRE,1526381,,,,JUN,58000,5309000
,,,,,,NOVIEMBRE,1526381,,,,JUL,16000,1473000
,,,,,,DIC,1526381,,,,AGTO,20000,1819000
,,,,,,ENERO,1526381,,,,SEPTI,25000,2264000
,,,,,,FEBRERO,1526381,,,,,,
,,,,,,MARZO,1526381,,,,,,
,,,,,,ABRIL ,1526381,,,,OCT,37000,3402000
,,,,,,MAYO ,1526381,,,,NOV,33000,2975000
,,,,,,JUNIO ,1526381,,,,DIC,38000,3456000
,,,,,,JULIO ,1526381,,,,,,
,,,,,,AGOSTO ,1526381,,,,,468000,
,,,,,,SEPT,1526381,,,,,,
,,,,,,OCTUBRE,1526381,,,,,,
,,,,,,NOVIEMBRE,1526381,,,,,,
,,,,,,DIC,1526381,,,,,,
,,,,,,2024-01-01,1526381,,,,,,
,,,,,,2024-02-01,1526381,,,,,,
,,,,,,2024-03-01,1526381,,,,,,
,,,,,,2024-04-01,1526381,,,,,,
,,,,,,2024-05-01,1526381,,,,,,
,,,,,,2024-06-01,1526381,,,,,,
,,,,,,2024-07-01,1526381,,,,,,
,,,,,,2024-08-01,1526381,,,,,,
,,,,,,2024-09-01,1526381,,,,,,
,,,,,,2024-10-01,1526381,,,,,,
,,,,,,2024-11-01,1526381,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TOTAL ,49352988,,,,,,
