EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL
CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO
MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025
TABLERO DE MADERA 70 X 140,24,175,200,35000,840000,JULIO 1 AL 24,,,,,
TABLERO DE MADERA 70 X 140,12,173,200,34600,415200,JULIO 25 A AGOSTO 5,,,,,
ANGULOS DE 60 CM,9,24,50,1200,10800,JULIO 1 AL 9,,,,,
ANGULOS DE 120 CM,9,16,90,1440,12960,JULIO 1 AL 9,,,,,
PARALES 3 MTS,24,9,150,1350,32400,JULIO 1 AL 24,,,,,
PARALES 3 MTS,12,1,150,150,1800,JULIO 25 A AGOSTO5,,,,,
PARALES 2 MTS,36,2,130,260,9360,JULIO 1 A AGOSTO 5,,,,,
"PARALES 3,5 MTS",10,47,170,7990,79900,JULIO 1 AL 10,,,,,
"PARALES 3,5 MTS",7,91,170,15470,108290,JULIO 11 AL 17,,,,,
"PARALES 3,5 MTS",19,120,170,20400,387600,JULIO 18 A AGOSTO 5,,,,,
PARALES 4 MTS,21,113,180,20340,427140,JULIO 1 AL 17,,,,,
PARALES 4 MTS,7,118,180,21240,148680,JULIO 18 AL 24,,,,,
CERCHAS 3 MTS,9,63,150,9450,85050,JULIO 1 AL 9,,,,,
CERCHAS 3 MTS,15,77,150,11550,173250,JULIO 10 AL 24,,,,,
CERCHAS 3 MTS,12,75,150,11250,135000,JULIO 25 A AGOSTO 5,,,,,
CERCHAS 2 MTS,10,7,140,980,9800,JULIO 1 AL 10,,,,,
CERCHAS 2 MTS,14,15,140,2100,29400,JULIO 11 AL 24,,,,,
CERCHAS 2.5  MTS,24,4,150,600,14400,JULIO 1 AL 24,,,,,
CERCHAS 2.5  MTS,12,2,150,300,3600,JULIO 25 A AGOSTO 5,,,,,
CERCHAS 1  MTS,24,4,130,520,12480,JULIO 1 AL 24,,,,,
"CERCHAS 1,5  MTS",24,2,130,260,6240,JULIO 1 AL 24,,,,,
TABLERO DE MADERA 40X 140,36,10,170,1700,61200,JULIO 1 A AGOSTO 5,,,,,
TABLERO DE MADERA 40X 120,36,2,170,340,12240,JULIO 1 A AGOSTO 5,,,,,
CHAPETAS,1,317,25,7925,7925,JULIO 1 AL 1,,,,,
CHAPETAS,4,417,25,10425,41700,JULIO 2 AL 9,,,,,
CHAPETAS,4,100,25,2500,10000,JULIO 18 AL 21,,,,,
CHAPETAS,3,203,25,5075,15225,JULIO22 AL 24,,,,,
CHAPETAS,12,177,25,4425,53100,JULIO 25 A AGOSTO 5,,,,,
ALINEADORES 6 MTS,7,10,500,5000,35000,JULIO 18 al 24,,,,,
ALINEADORES 6 MTS,12,8,500,4000,48000,JULIO 25 A AGOSTO 5,,,,,
ALINEADORES 3 MTS,19,2,350,700,13300,JULIO 18A AGOSTO 5,,,,,
"ALINEADORES 2,5 MTS",15,2,300,600,9000,JULIO 22 A AGOSTO 5,,,,,
ALINEADORES 2 MTS,3,5,250,1250,3750,JULIO 22 AL 24,,,,,
ALINEADORES 2 MTS,12,4,250,1000,12000,JULIO 25 A AGOSTO 5,,,,,
"ALINEADORES 1,5  MTS",15,3,180,540,8100,JULIO 22 AL AGOSTO 5,,,,,
TENSORES,4,33,90,2970,11880,JULIO 18 AL 21,,,,,
TENSORES,3,104,90,9360,28080,JULIO 22 AL 24,,,,,
TENSORES,12,74,90,6660,79920,JULIO 25 A AGOSTO 5,,,,,
JULIO 1 A AGOSTO 5,JULIO 1 A AGOSTO 5,SUBTOTAL,SUBTOTAL,4176470,,,,,,,
JULIO 1 A AGOSTO 5,JULIO 1 A AGOSTO 5,IVA 19 %,IVA 19 %,793529.3,,,,,,,
JULIO 1 A AGOSTO 5,JULIO 1 A AGOSTO 5,TRANSPORTE,TRANSPORTE,300000,,,,,,,
JULIO 1 A AGOSTO 5,JULIO 1 A AGOSTO 5, GRANTOTAL, GRANTOTAL,5269999.3,,,,,,,
