Tipo de documento,Folio,Prefijo,Fecha Emisión,Fecha Recepción,NIT Emisor,Nombre Emisor,NIT Receptor,Nombre Receptor,IVA,ICA,IPC,Total,Estado,Grupo
Factura electrónica,95,FVE,21-01-2022,21-01-2022 15:41:36,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,804004185,IMAN INGENIERIA Y MANTENIMIENTO SAS,464358.1,0,0,2908348.1,Aprobado con notificación,Emitido
Factura electrónica,94,FVE,21-01-2022,21-01-2022 15:00:46,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900974933,DISEÑOS INOXIDABLES DE COLOMBIA,45404.68,0,0,284376.68,Aprobado con notificación,Emitido
Factura electrónica,93,FVE,20-01-2022,20-01-2022 19:47:44,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,901457379,inversiones MBO SAS,32395,0,0,202895,Aprobado con notificación,Emitido
Factura electrónica,92,FVE,20-01-2022,20-01-2022 16:39:45,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900907803,TODO REPUESTOS Y FRENOS LA 61 SAS TODO REPUESTOS,0,0,0,25000,Aprobado con notificación,Emitido
Factura electrónica,91,FVE,20-01-2022,20-01-2022 16:38:54,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900907803,TODO REPUESTOS Y FRENOS LA 61 SAS TODO REPUESTOS,2736,0,0,17136,Aprobado con notificación,Emitido
Factura electrónica,90,FVE,19-01-2022,19-01-2022 18:45:43,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,804004185,IMAN INGENIERIA Y MANTENIMIENTO SAS IMAN,0,0,0,60000,Aprobado con notificación,Emitido
Factura electrónica,89,FVE,19-01-2022,19-01-2022 18:43:35,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,804004185,IMAN INGENIERIA Y MANTENIMIENTO SAS IMAN,13680,0,0,85680,Aprobado con notificación,Emitido
Factura electrónica,88,FVE,19-01-2022,19-01-2022 16:54:31,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900907803,TODO REPUESTOS Y FRENOS LA 61 SAS TODO REPUESTOS,0,0,0,105000,Aprobado con notificación,Emitido
Factura electrónica,87,FVE,19-01-2022,19-01-2022 16:50:49,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900907803,TODO REPUESTOS Y FRENOS LA 61 SAS TODO REPUESTOS,103546.2,0,0,648526.2,Aprobado con notificación,Emitido
Factura electrónica,86,FVE,18-01-2022,18-01-2022 19:57:19,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,890204220,Gonzalez Bohorquez SAS,485245.94,0,0,3039171.94,Aprobado con notificación,Emitido
,,,,,,,,,4603932.12,,,,,
,,,,,,,,,,,,,,
Factura electrónica,382969,RE01,22-04-2022,22-04-2022 16:21:38,890200110,CAMARA DE COMERCIO DE BUCARAMANGA,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,0,0,0,6500,Aprobado,Recibido
Factura electrónica,10115,FAFP,01-04-2022,04-04-2022 18:58:24,900206797,INMOBILIARIA E INGENIERIA AJC LIMITADA,900206780,EQUIORIENTE LTDA,16595,0,0,103935,Aprobado con notificación,Recibido
Factura electrónica,10063,FAFP,01-04-2022,04-04-2022 18:53:32,900206797,INMOBILIARIA E INGENIERIA AJC LIMITADA,900206780,EQUIORIENTE LTDA,13803,0,0,86453,Aprobado con notificación,Recibido
Factura electrónica,10061,FAFP,01-04-2022,04-04-2022 18:53:22,900206797,INMOBILIARIA E INGENIERIA AJC LIMITADA,900206780,EQUIORIENTE LTDA,17152,0,0,107429,Aprobado con notificación,Recibido
Factura electrónica,249403421,EC,30-03-2022,30-03-2022 23:26:23,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P. BIC,900206780,ALQUILERES Y EQUIPOS DEL ORIEN TE LIMITADA,17445.99,0,0,109715,Aprobado,Recibido
Factura electrónica,232442,FESD,26-03-2022,27-03-2022 08:56:31,900319753,PriceSmart Colombia S.A.S.,900206780,EQUIORIENTE LTDA,10380,0,0,97000,Aprobado con notificación,Recibido
Factura electrónica,50647,FE,15-03-2022,18-03-2022 13:43:45,901331275,AUTOSANDOVAL SAS,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LTDA,11655.46,0,0,183000,Aprobado con notificación,Recibido
Factura electrónica,46583,FVE,02-03-2022,04-03-2022 17:44:02,900484033,TUPERSA S.A.S.,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LTD,4135.29,0,0,25900,Aprobado,Recibido
Factura electrónica,9506,FAFP,02-03-2022,04-03-2022 13:03:36,900206797,INMOBILIARIA E INGENIERIA AJC LIMITADA,900206780,EQUIORIENTE LTDA,16796,0,0,105196,Aprobado con notificación,Recibido
Factura electrónica,9453,FAFP,02-03-2022,04-03-2022 12:57:46,900206797,INMOBILIARIA E INGENIERIA AJC LIMITADA,900206780,EQUIORIENTE LTDA,13803,0,0,86453,Aprobado con notificación,Recibido
Factura electrónica,9451,FAFP,02-03-2022,04-03-2022 12:57:38,900206797,INMOBILIARIA E INGENIERIA AJC LIMITADA,900206780,EQUIORIENTE LTDA,17152,0,0,107429,Aprobado con notificación,Recibido
Factura electrónica,249277632,EC,02-03-2022,02-03-2022 19:31:26,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P. BIC,900206780,ALQUILERES Y EQUIPOS DEL ORIEN TE LIMITADA,17442.95,0,0,109696,Aprobado,Recibido
