,,,,,,,,,,
DATOS EQUIORIENTE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DATOS EQUIORIENTE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
UTILIDAD,,,81263954.53833333,57490290.43000001,52011695.28333336,33773438,60540961,18188372,16115552,14259568
ACTIVO,,,464678911,434730122,,651400942,690860791,853528573,625817940,623059872
PASIVOS,,,13339535,6886433,13742805,55401094.784,14808401,9790229,7400398.359999999,6292248
PATRIMONIO,,,451339375.5383333,427843689,431868068,595999847.2160001,676052390,843738344,618417542,616767624
INVENTARIO,,,194063300,204438000,216776000,186147700,157109200,228187800,162593204,163235452
