,,,,
,,,,
,,,PUERTA DE ORO ,
,,,,
,,,,
,,,|,|
,,,,
,,1,JUNIO ,5087939
,,2,JULIO ,1526381
,,3,AGOSTO ,1526381
,,4,SEPT,1526381
,,5,OCTUBRE,1526381
,,6,NOVIEMBRE,1526381
,,7,DIC,1526381
,,8,ENERO,1526381
,,9,FEBRERO,1526381
,,10,MARZO,1526381
,,11,ABRIL ,1526381
,,12,MAYO ,1526381
,,13,JUNIO ,1526381
,,14,JULIO ,1526381
,,15,AGOSTO ,1526381
,,16,SEPT,1526381
,,17,OCTUBRE,1526381
,,18,NOVIEMBRE,1526381
,,19,DIC,1526381
,,20,2024-01-01,1526381
,,21,2024-02-01,1526381
,,22,2024-03-01,1526381
,,23,2024-04-01,1526381
,,24,2024-05-01,1526381
,,25,2024-06-01,1526381
,,26,2024-07-01,1526381
,,27,2024-08-01,1526381
,,28,2024-09-01,1526381
,,29,2024-10-01,1526381
,,30,2024-11-01,1526381
,,31,2024-12-01,1526382
,,,,
,,,TOTAL ,50879370
