,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,MES,VENTAS FISCALES 2025,VENTAS FISCALES 2024,VENTAS FISCALES 2023,VENTAS FISCALES 2022,VENTAS FISCALES 2021,VENTAS FISCALES 2020,VENTAS SIN IVA 2025,VENTAS SIN IVA 2024,VENTAS SIN IVA 2023,VENTAS SIN IVA 2022,VENTAS SIN IVA 2021,VENTAS SIN IVA 2020,GASTOS 2025,GASTOS 2024,GASTOS 2023,GASTOS 2022,GASTOS 2021,GASTOS 2020,UTILIDAD 2025,UTILIDAD 2024,UTILIDAD 2023,UTILIDAD 2022,UTILIDAD 2021,UTILIDAD 2020
,TOTAL ,34089077,42472965,79536903,73851239,43463329,75063876,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,MES,VENTAS SIN IVA 2025,VENTAS SIN IVA 2024,VENTAS SIN IVA 2023,VENTAS SIN IVA 2022,VENTAS SIN IVA 2021,VENTAS SIN IVA 2020,,,,,,,,,,,,,,,,,,
,ENERO ,3154060,5070435,4878660,3100823,5295548,4656136,,,,,,,,,,,,,,,,,,
,FEBRERO ,8170074,6521782,4693673,7094524,6881543,7804429,,,,,,,,,,,,,,,,,,
,MARZO,15848964,6934538,12062967,11156171,7901560,5900305,,,,,,,,,,,,,,,,,,
,ABRIL ,8045964,11902051,13101458,11179990,10475785,121014,,,,,,,,,,,,,,,,,,
,MAYO ,13860164,5781805,11011958,9141636,9475619,1804105,,,,,,,,,,,,,,,,,,
,JUNIO ,7977361,3102603,9771991,6890613,14072478,5883300,,,,,,,,,,,,,,,,,,
,JULIO ,9013371,4934884,5870486,8564817,7847354,9069381,,,,,,,,,,,,,,,,,,
,AGOSTO ,18563466,13355048,7730780,12002561,10482068,6862717,,,,,,,,,,,,,,,,,,
,SEPTIEMBRE,11325371,12223256,12500720,8694467,12769758,9114471,,,,,,,,,,,,,,,,,,
,OCTUBRE,12517646,12732697,7560400,6596990,11490263,11912109.83,,,,,,,,,,,,,,,,,,
,NOVIEMBRE,9654899,10221753,7355430,10351450,13482352,9403633,,,,,,,,,,,,,,,,,,
,DICIEMBRE,9782680,10979454,8377765,10009636,8072834,11129725,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL ,127914020,103760306,104916288,104783678,118247162,83661325.83,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,MES,GASTOS 2025,GASTOS 2024,GASTOS 2023,GASTOS 2022,GASTOS 2021,GASTOS 2020,,,,,,,,,,,,,,,,,,
,ENERO ,10157985,9947041,10152266,8340075.44,9031235,11183760,,,,,,,,,,,,,,,,,,
,FEBRERO ,12636419,13136716,13410419,9969598,12420337,13337610,,,,,,,,,,,,,,,,,,
,MARZO,15699505,11222287.82,16907266,11403558,13591375,10865138,,,,,,,,,,,,,,,,,,
,ABRIL ,13845188,13880419,12557124,11689725,17060981,8424882,,,,,,,,,,,,,,,,,,
,MAYO,16159541,12971414,15171959,11286631,11744516.633333333,10909925,,,,,,,,,,,,,,,,,,
,JUNIO,13183791,10918657,10729339,12304971,12797380,12990071,,,,,,,,,,,,,,,,,,
,JULIO,13164418,11152404,10792468,12624706,13357892,11530572,,,,,,,,,,,,,,,,,,
,AGOSTO,12998509,11530628,10381456,0,12441445,11013798,,,,,,,,,,,,,,,,,,
,SEPTIEMBRE,15385036,14014468,14685440,10423141,14262071,11098718,,,,,,,,,,,,,,,,,,
,OCTUBRE,15449005,14110605,22974686,10630364,11384483,14559398,,,,,,,,,,,,,,,,,,
