,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,MES,VENTAS FISCALES 2019,VENTAS FISCALES 2018,VENTAS FISCALES 2017,VENTAS SIN IVA 2019,VENTAS SIN IVA 2018,VENTAS SIN IVA 2017,GASTOS  2019,GASTOS  2018,GASTOS 2017,UTILIDAD 2019 ,UTILIDAD 2018 ,UTILIDAD  2017
,JUNIO ,8433671,7385244,14240736,,,,,,,,,
,JULIO,8752682,7676064,10531315,,,,,,,,,
,AGOSTO,10250005,9472439,10083753,,,,,,,,,
,SEPTIEMBRE,12341540.75,16476675,13656658,,,,,,,,,
,OCTUBRE ,13788360.75,10699836,12463405,,,,,,,,,
,NOVIEMBRE ,12146150.75,12696365,13179987,,,,,,,,,
,DICIEMBRE,9554095.75,8852048,27294325,,,,,,,,,
,,,,,,,,,,,,,
,TOTAL ,120895746,116304228,145686174,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,MES,UTILIDAD 2019,UTILIDAD 2018,UTILIDAD  2017,,,,,,,,,
,ENERO ,5038468,18954229,-3272885,,,,,,,,,
,FEBRERO ,3625618,-1253685,3095521,,,,,,,,,
,MARZO,3176999,-4103720,423035,,,,,,,,,
,ABRIL ,3741891,-1756692,5188303,,,,,,,,,
,MAYO ,2085937,-222899,5204853,,,,,,,,,
,JUNIO ,492012,822721,-5170532,,,,,,,,,
,JULIO,-2317677,-2214002,9983538,,,,,,,,,
,AGOSTO,-1439362,8804469,5208815,,,,,,,,,
,SEPTIEMBRE,-4658595.75,-10440744,92670,,,,,,,,,
,OCTUBRE ,-5944643.75,4755101,-3000416,,,,,,,,,
,NOVIEMBRE ,904815.25,-380592,-3733117,,,,,,,,,
,DICIEMBRE,4829226.25,5224186,48325460,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,TOTAL ,9534688,18188372,62345245,,,,,,,,,
