,,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-02-01,2021-02-01,2021-02-01,2021-03-01,2021-03-01,2021-03-01,2021-03-01,2021-04-01,2021-04-01,2021-04-01,2021-04-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-07-01,2021-07-01,2021-07-01,2021-07-01,2021-08-01,2021-08-01,2021-08-01,2021-08-01
Cuenta,Cuenta,Mov. 02/01/2021 a 31/01/2021,Mov. 02/01/2021 a 31/01/2021,Saldos a 31/01/1,Saldos a 31/01/1,Mov. 01/02/2021 a 28/02/2021,Mov. 01/02/2021 a 28/02/2021,Saldos a 28/02/2021,Mov. 01/03/2021 a 31/03/2021,Mov. 01/03/2021 a 31/03/2021,Saldos a 31/03/2021,Saldos a 31/03/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Saldos a 30/04/2021,Saldos a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Saldos a 30/04/2021,Saldos a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Saldos a 30/04/2021,Saldos a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Saldos a 30/04/2021,Saldos a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,c vvvvvv,c vvvvvv
Cód.,Nombre,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,
5105,Gastos de personal,30000,0,30000,,4888998,0,4918998,4803581,0,9722579,,4803967,0,14526546,,4902866,0,19429412,,4792542,0,24221954,,4916046,0,29138000,,4800542,0,33938542,
510506,Sueldos,0,0,,,2908453,0,2908453,3116200,0,6024653,,3116200,0,9140853,,3116200,0,12257053,,3116200,0,15373253,,3116200,0,18489453,,3116200,0,21605653,
5105,Horas extras ,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25000,0,25000,
510527,Auxilio de transporte,0,0,,,99357,0,99357,106454,0,205811,,106454,0,312265,,106454,0,418719,,106454,0,525173,,106454,0,631627,,106454,0,738081,
510530,Cesantías,0,0,,,250550,0,250550,268448,0,518998,,268448,0,787446,,268448,0,1055894,,268448,0,1324342,,268448,0,1592790,,268448,0,1861238,
510533,Intereses sobre cesantías,0,0,,,20879,0,20879,32213,0,53092,,32226,0,85318,,32214,0,117532,,32214,0,149746,,32214,0,181960,,32214,0,214174,
510536,Prima de servicios,0,0,,,250550,0,250550,268448,0,518998,,268448,0,787446,,268448,0,1055894,,268448,0,1324342,,268448,0,1592790,,268448,0,1861238,
510539,Vacaciones,0,0,,,121282,0,121282,129946,0,251228,,129946,0,381174,,129946,0,511120,,134384,0,645504,,134384,0,779888,,134384,0,914272,
510545,Auxilios,0,0,,,350872,0,350872,350872,0,701744,,350872,0,1052616,,350872,0,1403488,,350872,0,1754360,,350872,0,2105232,,350872,0,2456104,
510551,Dotación y elementos seguridad  trabajadores,30000,0,30000,,391093,0,421093,0,0,421093,,0,0,421093,,73950,0,495043,,17000,0,512043,,140504,0,652547,,0,0,652547,
510568,Aportes a administradoras de riesgos profesionales arp,0,0,,,30400,0,30400,32408,0,62808,,32700,0,95508,,32678,0,128186,,32532,0,160718,,32532,0,193250,,32532,0,225782,
